K	SSE
1	16.066519557305924
2	8.81611543510377
3	5.9664439734079995
4	5.062000872652307
5	3.602136527093473
6	3.255066842364161
7	2.3751908657873573
8	2.0382102259573163
9	3.0515255661595266
10	2.0565085608003177
11	1.7892612136493244
12	1.8078777004674669
13	1.7121903378797885
14	1.275855129945025
15	1.68935984646524
16	1.2735252598400841
17	1.1166704121604771
18	0.9282807523309522
19	1.1448265506556916
20	1.2399237250358635
21	1.0811994842018373
22	0.9414041755992394
23	0.9145640578264049
24	0.6043533733130696
25	0.6179101398339879
26	0.6064177053585075
27	0.8643065393625079
28	0.5082212354810195
29	0.5597592492289095
30	0.6316843846874295
31	0.6653621750347568
32	0.9027335586876392
33	0.5446497847748052
34	0.8709157613809104
35	0.4737581898523703
36	0.5935690588569472
37	0.5379941956398325
38	0.43137307550821474
39	0.5469427319832785
40	0.42047263128763684
41	0.5269001854211478
42	0.5072635204546257
43	0.38652861272412664
44	0.5075502847150206
45	0.3974506673663536
46	0.35930924725218055
47	0.32229473494008326
48	0.37910920242636154
49	0.2990693132803063
50	0.3332887679666424
51	0.3637377786146598
52	0.3250709537548487
53	0.2692206659427615
54	0.34726323798692227
55	0.2955383427261838
56	0.296517237446318
57	0.3154382054374863
58	0.27414772863818454
59	0.3037562248876441
60	0.25971507938408167
61	0.23767279991817897
62	0.32852156335621796
63	0.29683322990581873
64	0.22069341440206122
65	0.22345359091181657
66	0.2534459628370584
67	0.23078989794874347
68	0.2384245218440497
69	0.23645462566635378
70	0.24344466823239935
71	0.243229156330275
72	0.2109337074972792
73	0.2048250426477946
74	0.2461411645594079
75	0.2305427485616882
76	0.21502405514375958
77	0.20785651152957993
78	0.18631327151738014
79	0.22322370458473934
80	0.17463210222567713
81	0.19982558658539326
82	0.1894890065931497
83	0.1884960074920002
84	0.16085813409019076
85	0.1912083705869961
86	0.15944325222382014
87	0.20117386151946648
88	0.18882859226998286
89	0.1649311615359799
90	0.1345641351440345
91	0.17501962762685885
92	0.14020845459690007
93	0.1675945957008328
94	0.1430463409227653
95	0.14881601523715493
96	0.13044506453478788
97	0.13823372097842684
98	0.11953862619759127
99	0.10683773784205539
100	0.13822561070995748
